run_id,market,model,feature_set,seed,config_sha256,aligned_warmup_rows,matched_plan_path,dataset_path,dataset_sha256,git_revision,python_version,platform,forecastle_version,torch_version,device_requested,worker_device,physical_gpu_id,divergence,matched_plan_sha256,status,last_action,started_at,completed_at,duration_seconds,artifact_dir,last_checked_at,source_batch
canada_tsx__naive_persistence__close__seed42,canada_tsx,naive_persistence,close,42,e9d9d48655e258c4b06fb941ef13ae86467cea235d104d684ee2051575ca60c9,33,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/matched_origins/canada_tsx_plan.csv,data/raw/tsx.csv,fadb5125873db514ca4ae863b3f7a0e4ead14d7b1777df7cb1288a110c43647c,2ba135f24dbe533e013485e62c3f128777042146,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,cuda,cuda:0,0,False,28a0cb2c2022ce8a8fd8638521a5970875e6319278525c276f9efaf1f8aef3b4,completed,skipped,2026-07-23T17:58:23.190649+00:00,2026-07-23T17:58:24.931159+00:00,1.7314149200000202,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/runs/canada_tsx__naive_persistence__close__seed42/artifacts/20260723_175823_290070,2026-07-23T23:44:58.889728+00:00,g7_stage1_expanding_recursive_baselines
canada_tsx__naive_persistence__indicators__seed42,canada_tsx,naive_persistence,indicators,42,03f7df46cb2a73d39fb0f7e48cff1473d6b8c7a83f459f49ba1cce8cc061dc46,33,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/matched_origins/canada_tsx_plan.csv,data/raw/tsx.csv,fadb5125873db514ca4ae863b3f7a0e4ead14d7b1777df7cb1288a110c43647c,2ba135f24dbe533e013485e62c3f128777042146,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,cuda,cuda:0,0,False,28a0cb2c2022ce8a8fd8638521a5970875e6319278525c276f9efaf1f8aef3b4,completed,skipped,2026-07-23T17:58:25.051334+00:00,2026-07-23T17:58:30.895278+00:00,5.837393333000023,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/runs/canada_tsx__naive_persistence__indicators__seed42/artifacts/20260723_175825_146151,2026-07-23T23:44:59.015623+00:00,g7_stage1_expanding_recursive_baselines
canada_tsx__linear_regression__close__seed42,canada_tsx,linear_regression,close,42,1f4bec6d93645ad5bca82f1b27bed489755ed6500283656b51b5d92a51523820,33,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/matched_origins/canada_tsx_plan.csv,data/raw/tsx.csv,fadb5125873db514ca4ae863b3f7a0e4ead14d7b1777df7cb1288a110c43647c,2ba135f24dbe533e013485e62c3f128777042146,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,cuda,cuda:0,0,False,28a0cb2c2022ce8a8fd8638521a5970875e6319278525c276f9efaf1f8aef3b4,completed,skipped,2026-07-23T17:58:31.150704+00:00,2026-07-23T17:58:36.472914+00:00,5.315659135000033,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/runs/canada_tsx__linear_regression__close__seed42/artifacts/20260723_175831_240076,2026-07-23T23:44:59.136822+00:00,g7_stage1_expanding_recursive_baselines
canada_tsx__linear_regression__indicators__seed42,canada_tsx,linear_regression,indicators,42,4375d1f61a5870fb3e3d2f7bdf910f25277d3d97c0864a6059861be4431329db,33,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/matched_origins/canada_tsx_plan.csv,data/raw/tsx.csv,fadb5125873db514ca4ae863b3f7a0e4ead14d7b1777df7cb1288a110c43647c,2ba135f24dbe533e013485e62c3f128777042146,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,cuda,cuda:0,0,False,28a0cb2c2022ce8a8fd8638521a5970875e6319278525c276f9efaf1f8aef3b4,completed,skipped,2026-07-23T17:58:36.474714+00:00,2026-07-23T17:58:50.696925+00:00,14.214657366999973,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/runs/canada_tsx__linear_regression__indicators__seed42/artifacts/20260723_175836_584937,2026-07-23T23:44:59.265635+00:00,g7_stage1_expanding_recursive_baselines
france_cac40__naive_persistence__close__seed42,france_cac40,naive_persistence,close,42,44da03759d47ace62729691e6abdf4c8a09afad7b62dc1396bac0541520e0ba7,33,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/matched_origins/france_cac40_plan.csv,data/raw/cac40.csv,2d544f7aa0e744843883bc156cd34d53973ad6954c4684275fb3b1af28538e13,2ba135f24dbe533e013485e62c3f128777042146,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,cuda,cuda:0,0,False,7cc9618277eef91c5e5cf5be0c316e66f17d0990002c0954df4f6943d3d8ef98,completed,skipped,2026-07-23T17:58:50.699210+00:00,2026-07-23T17:58:52.401402+00:00,1.6949910669999326,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/runs/france_cac40__naive_persistence__close__seed42/artifacts/20260723_175850_787122,2026-07-23T23:44:59.394296+00:00,g7_stage1_expanding_recursive_baselines
france_cac40__naive_persistence__indicators__seed42,france_cac40,naive_persistence,indicators,42,267cf010a10611e48dd21d991b929f93d821686c32a3861e2d21ef3472c6d3c3,33,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/matched_origins/france_cac40_plan.csv,data/raw/cac40.csv,2d544f7aa0e744843883bc156cd34d53973ad6954c4684275fb3b1af28538e13,2ba135f24dbe533e013485e62c3f128777042146,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,cuda,cuda:0,0,False,7cc9618277eef91c5e5cf5be0c316e66f17d0990002c0954df4f6943d3d8ef98,completed,skipped,2026-07-23T17:58:53.073190+00:00,2026-07-23T17:58:59.068986+00:00,5.988102376000029,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/runs/france_cac40__naive_persistence__indicators__seed42/artifacts/20260723_175853_179264,2026-07-23T23:44:59.515402+00:00,g7_stage1_expanding_recursive_baselines
france_cac40__linear_regression__close__seed42,france_cac40,linear_regression,close,42,caf23f6a121db8a65d07083a4525fc545867060f3d7878df17fa76496fe55678,33,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/matched_origins/france_cac40_plan.csv,data/raw/cac40.csv,2d544f7aa0e744843883bc156cd34d53973ad6954c4684275fb3b1af28538e13,2ba135f24dbe533e013485e62c3f128777042146,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,cuda,cuda:0,0,False,7cc9618277eef91c5e5cf5be0c316e66f17d0990002c0954df4f6943d3d8ef98,completed,skipped,2026-07-23T17:58:59.962027+00:00,2026-07-23T17:59:06.086518+00:00,6.117604446000087,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/runs/france_cac40__linear_regression__close__seed42/artifacts/20260723_175900_049164,2026-07-23T23:44:59.649341+00:00,g7_stage1_expanding_recursive_baselines
france_cac40__linear_regression__indicators__seed42,france_cac40,linear_regression,indicators,42,57741ebbcc1d51726d4f80208951231c2d0e74caccd51a8342f3d1435f675ffd,33,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/matched_origins/france_cac40_plan.csv,data/raw/cac40.csv,2d544f7aa0e744843883bc156cd34d53973ad6954c4684275fb3b1af28538e13,2ba135f24dbe533e013485e62c3f128777042146,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,cuda,cuda:0,0,False,7cc9618277eef91c5e5cf5be0c316e66f17d0990002c0954df4f6943d3d8ef98,completed,skipped,2026-07-23T17:59:06.088348+00:00,2026-07-23T17:59:23.257026+00:00,17.162084185999902,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/runs/france_cac40__linear_regression__indicators__seed42/artifacts/20260723_175906_184620,2026-07-23T23:44:59.773856+00:00,g7_stage1_expanding_recursive_baselines
germany_dax__naive_persistence__close__seed42,germany_dax,naive_persistence,close,42,89cda52bb2f1b52e84b791a92ef9e9aa27ebe4c47d25d663df3cb585358f4e13,33,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/matched_origins/germany_dax_plan.csv,data/raw/dax.csv,6df3c07461b6001bea2f957118e4c2a0f60fc02ed6717da5035f5d9186d63fcd,2ba135f24dbe533e013485e62c3f128777042146,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,cuda,cuda:0,0,False,d5ef66e19b6e8b46c587171f280bbec2a4d54185b452cf7d39c9d227313889d0,completed,skipped,2026-07-23T17:59:23.259834+00:00,2026-07-23T17:59:25.071615+00:00,1.8046153870000128,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/runs/germany_dax__naive_persistence__close__seed42/artifacts/20260723_175923_356683,2026-07-23T23:44:59.902180+00:00,g7_stage1_expanding_recursive_baselines
germany_dax__naive_persistence__indicators__seed42,germany_dax,naive_persistence,indicators,42,455dc266e0bd33b9c9f02a8908496de97219401eda74338cfdb1ae57818babf8,33,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/matched_origins/germany_dax_plan.csv,data/raw/dax.csv,6df3c07461b6001bea2f957118e4c2a0f60fc02ed6717da5035f5d9186d63fcd,2ba135f24dbe533e013485e62c3f128777042146,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,cuda,cuda:0,0,False,d5ef66e19b6e8b46c587171f280bbec2a4d54185b452cf7d39c9d227313889d0,completed,skipped,2026-07-23T17:59:26.074923+00:00,2026-07-23T17:59:31.987284+00:00,5.905741418000048,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/runs/germany_dax__naive_persistence__indicators__seed42/artifacts/20260723_175926_177422,2026-07-23T23:45:00.028258+00:00,g7_stage1_expanding_recursive_baselines
