scope,run_id,market,model,feature_set,seed,status,checked,integrity_pass,origins_match,target_dates_match,fold_boundaries_match,fold_counts_match,prediction_counts_match,horizons_match,fold_count,prediction_count
run_vs_plan,canada_tsx__cnn1d__close__seed1,canada_tsx,cnn1d,close,1,completed,True,True,True,True,True,True,True,True,39,765
run_vs_plan,canada_tsx__cnn1d__close__seed42,canada_tsx,cnn1d,close,42,completed,True,True,True,True,True,True,True,True,39,765
run_vs_plan,canada_tsx__cnn1d__close__seed2026,canada_tsx,cnn1d,close,2026,completed,True,True,True,True,True,True,True,True,39,765
run_vs_plan,canada_tsx__cnn1d__indicators__seed1,canada_tsx,cnn1d,indicators,1,completed,True,True,True,True,True,True,True,True,39,765
run_vs_plan,canada_tsx__cnn1d__indicators__seed42,canada_tsx,cnn1d,indicators,42,completed,True,True,True,True,True,True,True,True,39,765
run_vs_plan,canada_tsx__cnn1d__indicators__seed2026,canada_tsx,cnn1d,indicators,2026,completed,True,True,True,True,True,True,True,True,39,765
run_vs_plan,canada_tsx__lstm_gru__close__seed1,canada_tsx,lstm_gru,close,1,completed,True,True,True,True,True,True,True,True,39,765
run_vs_plan,canada_tsx__lstm_gru__close__seed42,canada_tsx,lstm_gru,close,42,completed,True,True,True,True,True,True,True,True,39,765
run_vs_plan,canada_tsx__lstm_gru__close__seed2026,canada_tsx,lstm_gru,close,2026,completed,True,True,True,True,True,True,True,True,39,765
run_vs_plan,canada_tsx__lstm_gru__indicators__seed1,canada_tsx,lstm_gru,indicators,1,completed,True,True,True,True,True,True,True,True,39,765
run_vs_plan,canada_tsx__lstm_gru__indicators__seed42,canada_tsx,lstm_gru,indicators,42,completed,True,True,True,True,True,True,True,True,39,765
run_vs_plan,canada_tsx__lstm_gru__indicators__seed2026,canada_tsx,lstm_gru,indicators,2026,completed,True,True,True,True,True,True,True,True,39,765
run_vs_plan,canada_tsx__dnfs__close__seed1,canada_tsx,dnfs,close,1,completed,True,True,True,True,True,True,True,True,39,765
run_vs_plan,canada_tsx__dnfs__close__seed42,canada_tsx,dnfs,close,42,completed,True,True,True,True,True,True,True,True,39,765
run_vs_plan,canada_tsx__dnfs__close__seed2026,canada_tsx,dnfs,close,2026,completed,True,True,True,True,True,True,True,True,39,765
run_vs_plan,canada_tsx__dnfs__indicators__seed1,canada_tsx,dnfs,indicators,1,completed,True,True,True,True,True,True,True,True,39,765
